Iteration,Reward,Accumulative Reward
683,0.39786538,276.35
684,0.3694126,276.71942
685,0.0,276.71942
686,0.37661704,277.09604
687,0.0,277.09604
688,0.41144636,277.50748
689,0.40825573,277.91574
690,0.0,277.91574
691,0.42745677,278.3432
692,0.41435435,278.75757
693,0.43888018,279.19644
694,0.4440519,279.6405
695,0.3971739,280.0377
696,0.44351357,280.4812
697,0.42659596,280.9078
698,0.38466442,281.29248
699,0.39791092,281.6904
700,0.42042023,282.1108
701,0.41941658,282.5302
702,0.42268163,282.95288
703,0.42113766,283.37402
704,0.38258907,283.75662
705,0.42735627,284.184
706,0.43366602,284.61765
707,0.40931243,285.02695
708,0.4265311,285.4535
709,0.43896908,285.89246
710,0.4365318,286.32898
711,0.42770812,286.75668
712,0.42828962,287.18497
713,0.426496,287.61145
714,0.42012438,288.0316
715,0.38313505,288.41473
716,0.40342984,288.81818
717,0.36489984,289.18307
718,0.40174833,289.5848
719,0.37338832,289.9582
720,0.42145714,290.37964
721,0.42601603,290.80566
722,0.42038038,291.22604
723,0.43393973,291.65997
724,0.3784917,292.03845
725,0.4189159,292.45737
726,0.3579716,292.81534
727,0.3685132,293.18384
728,0.3997793,293.58362
729,0.3891315,293.97275
730,0.3764342,294.34918
731,0.36490974,294.71408
732,0.33739126,295.05148
733,0.38195404,295.43344
734,0.34270632,295.77615
735,0.36501464,296.14117
736,0.3624403,296.5036
737,0.3514354,296.85504
738,0.2951914,297.15024
739,0.33495975,297.4852
740,0.33161244,297.8168
741,0.33073792,298.14755
742,0.30241323,298.44995
743,0.32580805,298.77576
744,0.31860888,299.09436
745,0.31794518,299.4123
746,0.32309744,299.73538
747,0.31187668,300.04727
748,0.26902387,300.31628
749,0.2918471,300.60812
750,0.30151752,300.90964
751,0.29307026,301.2027
752,0.29566872,301.49835
753,0.29242396,301.79077
754,0.29072085,302.08148
755,0.3031476,302.38464
756,0.2695348,302.65417
757,0.30776018,302.96194
758,0.31766567,303.2796
759,0.29306835,303.57266
760,0.32058,303.89325
761,0.31911865,304.21237
762,0.27549276,304.48785
763,0.32946518,304.81732
764,0.33472532,305.15204
765,0.32751533,305.47955
766,0.3315027,305.81107
767,0.29838783,306.10947
768,0.3451125,306.4546
769,0.34998584,306.80457
770,0.35867256,307.16324
771,0.36302456,307.52628
772,0.37035853,307.89664
773,0.37712005,308.27374
774,0.376702,308.65045
775,0.3802982,309.03076
776,0.39640862,309.4272
777,0.40268254,309.82986
778,0.4003617,310.23022
779,0.37755084,310.6078
780,0.35774443,310.96555
781,0.40713468,311.37268
782,0.36266798,311.73535
783,0.40036997,312.1357
784,0.4063598,312.54208
785,0.3811375,312.92322
786,0.3950097,313.31824
787,0.3601942,313.67844
788,0.39207932,314.07053
789,0.3972281,314.46774
790,0.38926396,314.857
791,0.39625502,315.25323
792,0.3660284,315.61926
793,0.39691105,316.01617
794,0.3849947,316.40118
795,0.38024247,316.78143
796,0.38829812,317.16974
797,0.34338212,317.51312
798,0.3751935,317.8883
799,0.35702455,318.24533
800,0.3838874,318.6292
801,0.33740562,318.9666
802,0.38949057,319.3561
803,0.38659355,319.7427
804,0.3882747,320.13098
805,0.37076116,320.50174
806,0.39643157,320.89816
807,0.3853042,321.28348
808,0.39290744,321.6764
809,0.38675216,322.06314
810,0.39688867,322.46002
811,0.36473048,322.82474
812,0.40258965,323.22733
813,0.40995258,323.63727
814,0.37543213,324.0127
815,0.4193816,324.43207
816,0.39203635,324.8241
817,0.4251377,325.24924
818,0.4291758,325.6784
819,0.42988747,326.1083
820,0.41668665,326.525
821,0.4314006,326.9564
822,0.4044022,327.36078
823,0.4346014,327.79538
824,0.42881763,328.22418
825,0.42813885,328.6523
826,0.40910158,329.0614
827,0.4369412,329.49835
828,0.4368614,329.9352
829,0.43196234,330.3672
830,0.40919602,330.7764
831,0.4086555,331.18506
832,0.42448735,331.60956
833,0.4244321,332.034
834,0.4309848,332.465
835,0.39890268,332.8639
836,0.40846506,333.27237
837,0.4449754,333.71735
838,0.44274542,334.1601
839,0.4580183,334.6181
840,0.45691264,335.075
841,0.45156515,335.52658
842,0.46333924,335.98993
843,0.44944382,336.43936
844,0.45437527,336.89374
845,0.45068645,337.34442
846,0.45078182,337.7952
847,0.4511969,338.2464
848,0.44494233,338.69135
849,0.4539392,339.1453
850,0.45309344,339.5984
851,0.4584683,340.05685
852,0.45595595,340.51282
853,0.4499688,340.9628
854,0.39486006,341.35767
855,0.44229603,341.79996
856,0.44897735,342.24893
857,0.44741425,342.69635
858,0.42644727,343.1228
859,0.0,343.1228
860,0.0,343.1228
861,0.0,343.1228
862,0.42591205,343.5487
863,0.40008217,343.9488
864,0.0,343.9488
865,0.41332024,344.36212
866,0.4032738,344.76538
867,0.38070858,345.1461
868,0.34784654,345.49393
869,0.36108607,345.855
870,0.39567146,346.25067
871,0.398843,346.6495
872,0.40069085,347.0502
873,0.39917752,347.44937
874,0.40028375,347.84964
875,0.3814848,348.2311
876,0.37449548,348.6056
877,0.37107253,348.97665
878,0.3665516,349.3432
879,0.36544085,349.70865
880,0.34090346,350.04956
881,0.34429333,350.39386
882,0.0,350.39386
883,0.0,350.39386
884,0.0,350.39386
885,0.31590194,350.70975
886,0.32323912,351.033
887,0.31906515,351.35205
888,0.31259194,351.66464
889,0.31472656,351.97937
890,0.30615053,352.28552
891,0.29776794,352.58328
892,0.2921013,352.8754
893,0.25013408,353.12552
894,0.2939232,353.41943
895,0.2679408,353.68738
896,0.29012695,353.9775
897,0.0,353.9775
898,0.23605022,354.21356
899,0.28283608,354.4964
900,0.23344553,354.72986
901,0.27196255,355.00183
902,0.0,355.00183
903,0.27822983,355.28006
904,0.0,355.28006
905,0.28434235,355.5644
906,0.28132784,355.84573
907,0.23094839,356.0767
908,0.27241364,356.3491
909,0.24938777,356.59848
910,0.24558572,356.84406
911,0.25845096,357.1025
912,0.2691778,357.37167
913,0.29110366,357.66278
914,0.25617823,357.91895
915,0.24651995,358.16547
916,0.2965099,358.46198
917,0.30327833,358.76526
918,0.30181968,359.06708
919,0.27760985,359.3447
920,0.299617,359.64432
921,0.3184377,359.96277
922,0.23548354,360.19824
923,0.28500327,360.48325
924,0.23485701,360.7181
925,0.3003819,361.0185
926,0.2992677,361.31775
927,0.25973743,361.57748
928,0.26943156,361.84692
929,0.2857295,362.13266
930,0.28085345,362.4135
931,0.31064287,362.72415
932,0.29578266,363.01993
933,0.30161867,363.32153
934,0.2703,363.59183
935,0.26021364,363.85205
936,0.26965624,364.1217
937,0.29527763,364.417
938,0.3005814,364.71756
939,0.3145616,365.03214
940,0.3004149,365.33255
941,0.273672,365.60623
942,0.28803322,365.89426
943,0.2948097,366.18906
944,0.0,366.18906
945,0.25042704,366.43948
946,0.3086081,366.74808
947,0.26334614,367.0114
948,0.2968727,367.3083
949,0.29627636,367.60455
950,0.27119908,367.87576
951,0.30714706,368.18292
952,0.30822685,368.49115
953,0.29738545,368.78854
954,0.0,368.78854
955,0.25883344,369.04736
956,0.25564516,369.303
957,0.24980573,369.55283
958,0.23676375,369.78958
959,0.24861977,370.0382
960,0.26195794,370.30017
961,0.25127196,370.55145
962,0.2811885,370.83264
963,0.28021848,371.11285
964,0.29004338,371.4029
965,0.28175768,371.68466
966,0.28587836,371.97055
967,0.0,371.97055
968,0.30008,372.27063
969,0.28964454,372.56027
970,0.0,372.56027
971,0.26756397,372.82785
972,0.3019792,373.12982
973,0.30147502,373.4313
974,0.26899198,373.7003
975,0.28456432,373.98486
976,0.26168492,374.24655
977,0.28485212,374.5314
978,0.2826667,374.81406
979,0.27435938,375.0884
980,0.28326368,375.37167
981,0.27675176,375.64844
982,0.27995118,375.92838
983,0.27208754,376.20047
984,0.28091058,376.48138
985,0.0,376.48138
986,0.2878521,376.76923
987,0.2923647,377.06158
988,0.29512605,377.35672
989,0.292586,377.6493
990,0.2924966,377.9418
991,0.29806697,378.23987
992,0.28923088,378.5291
993,0.2865662,378.81567
994,0.30726284,379.12292
995,0.28683594,379.40976
996,0.29598248,379.70575
997,0.30195278,380.0077
998,0.30933768,380.31702
999,0.2862782,380.6033
1000,0.25267118,380.856
1001,0.29230776,381.1483
1002,0.29894093,381.44724
1003,0.2970385,381.74426
1004,0.2987956,382.04306
1005,0.29158127,382.33466
1006,0.2889394,382.6236
1007,0.29513365,382.91873
1008,0.30236536,383.2211
1009,0.30334577,383.52444
1010,0.30556333,383.83002
1011,0.3086501,384.13867
1012,0.3130964,384.45178
1013,0.3005586,384.75235
1014,0.26372126,385.01608
1015,0.2875973,385.30368
1016,0.2683418,385.57202
1017,0.25348285,385.8255
1018,0.25883105,386.08432
1019,0.2486674,386.33298
1020,0.27019608,386.60318
1021,0.2615818,386.86478
1022,0.24288748,387.10767
1023,0.25121218,387.3589
1024,0.25037408,387.60925
1025,0.23922928,387.84848
1026,0.24344657,388.09192
1027,0.23269963,388.32462
1028,0.2392415,388.56384
1029,0.18330574,388.74716
1030,0.22018763,388.96735
1031,0.1852424,389.1526
1032,0.23351263,389.3861
1033,0.2337463,389.61984
1034,0.23805238,389.8579
1035,0.23857185,390.0965
1036,0.2291746,390.32568
1037,0.20656459,390.53226
1038,0.24392976,390.77618
1039,0.22543597,391.00162
1040,0.2573035,391.2589
1041,0.2560237,391.51492
1042,0.22093597,391.73587
1043,0.27219644,392.00806
1044,0.2783127,392.28638
1045,0.28339112,392.56976
1046,0.2824998,392.85226
1047,0.28290263,393.13516
1048,0.28197962,393.41714
1049,0.26972637,393.68686
1050,0.29893428,393.98578
1051,0.3015448,394.28732
1052,0.30618814,394.5935
1053,0.30472398,394.89822
1054,0.25627825,395.1545
1055,0.31802496,395.47253
1056,0.32307595,395.79562
1057,0.31330755,396.10892
1058,0.33747488,396.44638
1059,0.33926514,396.78564
1060,0.3455609,397.1312
1061,0.3544734,397.48566
1062,0.36041972,397.84607
1063,0.32364076,398.1697
1064,0.3598217,398.52954
1065,0.30523452,398.83478
1066,0.3647631,399.19955
1067,0.35426506,399.55383
1068,0.35115144,399.905
